SIZE ,STOCK ,COLORSPEC ,COATING ,,BUSINESS CARD BOX SIZE ,RunSize,UnitPrice,TotalPrice
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 14PT",250,4.7137,"1,178.43"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 14PT",500,2.6379,"1,318.93"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 14PT",1000,1.4836,"1,483.61"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 14PT",2500,0.8817,"2,204.26"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 14PT",5000,0.6947,"3,473.34"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 14PT",250,4.8406,"1,210.16"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 14PT",500,2.7104,"1,355.19"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 14PT",1000,1.5229,"1,522.89"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 14PT",2500,0.9059,"2,264.70"
"3.625"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 14PT",5000,0.7140,"3,570.04"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 16PT",250,4.7137,"1,178.43"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 16PT",500,2.6379,"1,318.93"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 16PT",1000,1.4836,"1,483.61"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 16PT",2500,0.8817,"2,204.26"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 16PT",5000,0.6947,"3,473.34"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 16PT",250,4.8406,"1,210.16"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 16PT",500,2.7104,"1,355.19"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 16PT",1000,1.5229,"1,522.89"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 16PT",2500,0.9059,"2,264.70"
"3.625"" x 4.375"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 16PT",5000,0.7140,"3,570.04"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 18PT",250,4.7137,"1,178.43"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 18PT",500,2.6379,"1,318.93"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 18PT",1000,1.4836,"1,483.61"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 18PT",2500,0.8817,"2,204.26"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 250 2"" x 3.5"" 18PT",5000,0.6947,"3,473.34"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 250 2"" x 3.5"" 18PT",250,5.3180,"1,329.51"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 250 2"" x 3.5"" 18PT",500,2.9733,"1,486.64"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 250 2"" x 3.5"" 18PT",1000,1.6694,"1,669.44"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 250 2"" x 3.5"" 18PT",2500,0.9941,"2,485.28"
