SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,250,2.7376,684.39
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,1.6135,806.77
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.8793,879.29
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.5379,"1,344.63"
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.3771,"1,885.49"
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,250,2.6711,667.77
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,500,1.5743,787.14
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,1000,0.8551,855.12
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,2500,0.5107,"1,276.63"
"2.75"" x 2.75"" x 2.75""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,5000,0.3587,"1,793.34"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,250,5.3785,"1,344.63"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,3.0095,"1,504.76"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,1.6921,"1,692.10"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,1.0062,"2,515.49"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.7935,"3,967.38"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,250,5.2334,"1,308.36"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,500,2.9310,"1,465.49"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,1000,1.6483,"1,648.29"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,2500,0.9796,"2,449.02"
"4"" x 4"" x 4""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,5000,0.7720,"3,860.12"
