SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,250,2.5200,630.01
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,1.3718,685.91
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.8310,830.95
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.4998,"1,249.44"
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.3490,"1,744.99"
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,250,2.3266,581.66
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,500,1.2751,637.56
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,1000,0.7781,778.07
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,2500,0.4738,"1,184.48"
"1.7"" x 1.7"" x 5""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,5000,0.3318,"1,658.87"
