SIZE ,STOCK ,COLORSPEC ,COATING ,,SCORING OPTIONS ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.1846,592.28
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.8813,881.26
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4973,"1,243.30"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.3227,"1,613.27"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.2346,617.28
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.9143,914.26
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4973,"1,243.30"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3487,"1,743.47"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,500,1.1909,595.45
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,1000,0.8844,884.44
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,5000,0.3138,"1,568.80"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,500,1.2409,620.45
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,1000,0.9174,917.44
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3398,"1,699.00"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.0734,536.69
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.7161,716.12
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4294,"1,073.38"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.2855,"1,427.48"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.1234,561.69
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.7491,749.12
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4294,"1,073.38"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3115,"1,557.68"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,500,1.0797,539.87
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,1000,0.7193,719.30
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,2500,0.4592,"1,148.02"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,5000,0.2861,"1,430.66"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,500,1.1297,564.87
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,1000,0.7523,752.30
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4592,"1,148.02"
"4.25"" x 11""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3122,"1,560.86"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.1846,592.28
