SIZE ,STOCK ,COLORSPEC ,COATING ,EDGE JOIN OPTIONS ,RunSize,UnitPrice,TotalPrice
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Glue,250,3.1822,795.56
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Glue,500,1.3589,679.44
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Glue,1000,0.9709,970.87
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Glue,2500,0.5726,"1,431.60"
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Glue,5000,0.4010,"2,004.84"
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Edge Lock,250,2.2722,568.06
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Edge Lock,500,1.2389,619.44
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Edge Lock,1000,0.7509,750.87
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Edge Lock,2500,0.4526,"1,131.60"
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,Edge Lock,5000,0.3170,"1,584.84"
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Glue,250,2.2722,568.06
"3.625"" x 1.5"" x 7.25""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Edge Lock,250,3.3696,842.40
