SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.9305,465.24
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.7177,717.72
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.4090,"1,022.59"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.2639,"1,319.51"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,0.9242,462.08
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.7145,714.54
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.4078,"1,019.41"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.2633,"1,316.34"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.7304,365.21
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.4938,493.82
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.3163,790.76
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.2245,"1,122.61"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.7272,363.62
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.4922,492.24
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.3150,787.58
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.2242,"1,121.03"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.9305,465.24
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.7177,717.72
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.4090,"1,022.59"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.2639,"1,319.51"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.9242,462.08
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.7145,714.54
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.4078,"1,019.41"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.2633,"1,316.34"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.8289,414.43
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.5685,568.45
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.3474,868.57
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.2302,"1,151.19"
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,500,0.8225,411.25
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,1000,0.5653,565.27
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,2500,0.3462,865.38
"3.5"" x 8.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,5000,0.2299,"1,149.62"
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,500,0.9273,463.65
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,1000,0.7177,717.72
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,2500,0.4090,"1,022.59"
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,5000,0.2639,"1,319.51"
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,0.9242,462.08
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.7145,714.54
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,2500,0.4078,"1,019.41"
"3.5"" x 8.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,5000,0.2633,"1,316.34"
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.5081,254.06
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.4001,400.14
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.2299,574.81
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.1635,817.74
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,0.5018,250.88
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.3970,396.98
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.2287,571.63
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.1629,814.58
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.4962,496.22
