SIZE ,STOCK ,COLORSPEC ,COATING ,POCKETS ,BUSINESS CARD SLIT ,CD SLIT ,RunSize,UnitPrice,TotalPrice
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Left (Front) Pocket,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Left (Front) Pocket,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Left (Front) Pocket,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Left (Front) Pocket,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,No CD Slit,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,No CD Slit,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,No CD Slit,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,No CD Slit,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Right (Back) Pocket,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Right (Back) Pocket,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Right (Back) Pocket,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Left (Front) Pocket - Vertical,On the Right (Back) Pocket,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Left (Front) Pocket,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Left (Front) Pocket,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Left (Front) Pocket,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Left (Front) Pocket,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,No CD Slit,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,No CD Slit,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,No CD Slit,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,No CD Slit,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Right (Back) Pocket,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Right (Back) Pocket,1000,1.2808,"1,280.80"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Right (Back) Pocket,2500,0.9486,"2,371.39"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,No Business Card Slits,On the Right (Back) Pocket,5000,0.7771,"3,885.31"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Horizontal,On the Left (Front) Pocket,500,2.2936,"1,146.82"
"6"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV Front Only,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Horizontal,On the Left (Front) Pocket,1000,1.2808,"1,280.80"
