SIZE ,STOCK ,COLORSPEC ,COATING ,SPOT UV SIDES ,RunSize,UnitPrice,TotalPrice
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,4.8225,"1,205.63"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,2.6590,"1,329.51"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,1.4806,"1,480.59"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.8944,"2,236.00"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.7252,"3,625.94"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,4.2121,"1,053.03"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,2.3206,"1,160.30"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,1.2932,"1,293.25"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.7808,"1,951.97"
"11"" x 17""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.6330,"3,165.15"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,5.0642,"1,266.06"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,2.7920,"1,395.99"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,1.5546,"1,554.62"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.9391,"2,347.79"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.7614,"3,807.24"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,4.4176,"1,104.40"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,2.4385,"1,219.23"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,1.3567,"1,356.71"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.8201,"2,050.17"
"12"" x 18""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.6648,"3,323.78"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,5.3060,"1,326.49"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,2.9249,"1,462.46"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,1.6287,"1,628.65"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,1.0092,"2,523.06"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.7977,"3,988.53"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,4.6291,"1,157.28"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,2.5533,"1,276.63"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,1.4217,"1,421.67"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.8587,"2,146.86"
"13"" x 19""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.6965,"3,482.41"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,12.0865,"3,021.62"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,6.9860,"3,492.99"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,4.2514,"4,251.41"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,2.5817,"6,454.17"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,2.1810,"10,905.02"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,10.5515,"2,637.87"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,6.0976,"3,048.81"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,3.7121,"3,712.05"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,2.2535,"5,633.80"
"19"" x 27""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,1.9039,"9,519.61"
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,2.9491,737.27
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,1.5682,784.10
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.9156,915.55
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.5173,"1,293.25"
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.3354,"1,677.00"
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,2.1876,546.91
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,1.1724,586.19
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.7025,702.52
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.4128,"1,031.88"
"8.5"" x 11""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.2671,"1,335.56"
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,250,3.1546,788.64
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,1.6981,849.07
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,1.0183,"1,018.28"
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.5989,"1,497.21"
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.3973,"1,986.72"
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,250,2.3931,598.27
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,500,1.2963,648.14
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.7947,794.69
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.4853,"1,213.18"
"8.5"" x 14""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.3402,"1,701.17"
