SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,250,4.0248,"1,006.20"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,3.0095,"1,504.76"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,1.4957,"1,495.71"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,1.0080,"2,520.02"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.7194,"3,597.24"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,250,3.8193,954.83
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,500,2.9310,"1,465.49"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,1000,1.4247,"1,424.69"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,2500,0.9651,"2,412.76"
"5"" x 7"" x 1.7""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,5000,0.6850,"3,425.01"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,250,4.7863,"1,196.56"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,3.0095,"1,504.76"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,1.7737,"1,773.69"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,1.1929,"2,982.33"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.8470,"4,234.80"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,250,4.5747,"1,143.68"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,500,2.9310,"1,465.49"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,1000,1.6982,"1,698.15"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,2500,1.1446,"2,861.47"
"5.5"" x 5.5"" x 2.625""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,5000,0.8074,"4,036.88"
