SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.1175,58.75
"1.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.0651,65.10
"1.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0438,109.57
"1.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0359,179.43
"1.75"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.1175,58.75
"1.75"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.0651,65.10
"1.75"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0438,109.57
"1.75"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0359,179.43
"2"" x 2""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.1175,58.75
"2"" x 2""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.0651,65.10
"2"" x 2""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0438,109.57
"2"" x 2""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0359,179.43
"2"" x 3""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.1175,58.75
"2"" x 3""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.0651,65.10
"2"" x 3""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0438,109.57
"2"" x 3""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0359,179.43
"2"" x 3.5"" (US Standard)",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.1175,58.75
"2"" x 3.5"" (US Standard)",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.0651,65.10
"2"" x 3.5"" (US Standard)",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0438,109.57
"2"" x 3.5"" (US Standard)",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0359,179.43
"2"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.2350,117.50
"2"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.1318,131.80
"2"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0794,198.48
"2"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0715,357.26
