SIZE ,STOCK ,COLORSPEC ,COATING ,SPOT UV SIDES ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.3621,181.03
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.2874,287.40
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.1670,417.60
