SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 8""",32PT Uncoated,4/0 (4 color front),No Coating,500,0.2298,114.90
"2"" x 8""",32PT Uncoated,4/0 (4 color front),No Coating,1000,0.1770,176.97
"2"" x 8""",32PT Uncoated,4/1,No Coating,500,0.2324,116.21
"2"" x 8""",32PT Uncoated,4/1,No Coating,1000,0.1784,178.41
"2"" x 8""",32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.2324,116.21
"2"" x 8""",32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.1784,178.41
"3.5"" x 8.5""",32PT Uncoated,4/0 (4 color front),No Coating,500,0.4270,213.49
"3.5"" x 8.5""",32PT Uncoated,4/0 (4 color front),No Coating,1000,0.3291,329.12
"3.5"" x 8.5""",32PT Uncoated,4/1,No Coating,500,0.4322,216.09
"3.5"" x 8.5""",32PT Uncoated,4/1,No Coating,1000,0.3316,331.57
"3.5"" x 8.5""",32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.4322,216.09
"3.5"" x 8.5""",32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.3316,331.57
