SIZE ,STOCK ,COLORSPEC ,COATING ,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/0 (4 color front),No Coating,No Drill Hole,500,0.1957,97.87
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/0 (4 color front),No Coating,No Drill Hole,1000,0.1286,128.60
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",500,0.1957,97.87
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",1000,0.1286,128.60
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/1,No Coating,No Drill Hole,500,0.1980,99.02
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/1,No Coating,No Drill Hole,1000,0.1316,131.65
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/1,No Coating,"Standard Drill Hole 1/8""",500,0.1980,99.02
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/1,No Coating,"Standard Drill Hole 1/8""",1000,0.1316,131.65
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/4 (4 color both sides),No Coating,No Drill Hole,500,0.1980,99.02
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/4 (4 color both sides),No Coating,No Drill Hole,1000,0.1316,131.65
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",500,0.1980,99.02
"2"" x 3.5"" (US Standard)",32PT Uncoated,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",1000,0.1316,131.65
