SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 4""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.1109,55.44
"2"" x 4""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.0844,84.44
"2"" x 4""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.1109,55.44
"2"" x 4""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.0844,84.44
"2"" x 4""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.1080,53.99
"2"" x 4""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.0811,81.14
"3.5"" x 3.5""",Square,32PT Uncoated,4/1,No Coating,500,0.2324,116.21
"3.5"" x 3.5""",Square,32PT Uncoated,4/1,No Coating,1000,0.1784,178.41
"3.5"" x 3.5""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.2324,116.21
"3.5"" x 3.5""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.1784,178.41
"3.5"" x 3.5""",Square,32PT Uncoated,4/0 (4 color front),No Coating,500,0.2298,114.90
"3.5"" x 3.5""",Square,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.1770,176.97
"3.5"" x 4""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.2324,116.21
"3.5"" x 4""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.1784,178.41
"3.5"" x 4""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.2324,116.21
"3.5"" x 4""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.1784,178.41
"3.5"" x 4""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.2298,114.90
"3.5"" x 4""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.1770,176.97
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.4322,216.09
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.3316,331.57
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.4322,216.09
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.3316,331.57
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.4270,213.49
"3.5"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.3291,329.12
"4"" x 4""",Square,32PT Uncoated,4/1,No Coating,500,0.2324,116.21
"4"" x 4""",Square,32PT Uncoated,4/1,No Coating,1000,0.1784,178.41
"4"" x 4""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.2324,116.21
"4"" x 4""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.1784,178.41
"4"" x 4""",Square,32PT Uncoated,4/0 (4 color front),No Coating,500,0.2298,114.90
"4"" x 4""",Square,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.1770,176.97
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.3485,174.23
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.2675,267.48
"4"" x 6""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.3485,174.23
"4"" x 6""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.2675,267.48
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.3444,172.20
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.2655,265.46
"4"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.4732,236.59
"4"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.3731,373.15
"4"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.4732,236.59
"4"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.3731,373.15
"4"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.4414,220.71
"4"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.3573,357.26
"4"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.4795,239.77
"4"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.3763,376.33
"4"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.4795,239.77
"4"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.3763,376.33
"4"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.4478,223.89
"4"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.3604,360.44
"4.25"" x 11""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.5557,277.87
"4.25"" x 11""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4176,417.60
"4.25"" x 11""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.5557,277.87
"4.25"" x 11""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4176,417.60
"4.25"" x 11""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5240,262.00
"4.25"" x 11""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4049,404.91
"5"" x 5""",Square,32PT Uncoated,4/1,No Coating,500,0.3632,181.59
"5"" x 5""",Square,32PT Uncoated,4/1,No Coating,1000,0.2787,278.74
"5"" x 5""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.3632,181.59
"5"" x 5""",Square,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.2787,278.74
"5"" x 5""",Square,32PT Uncoated,4/0 (4 color front),No Coating,500,0.3589,179.43
"5"" x 5""",Square,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.2766,276.57
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.5557,277.87
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4176,417.60
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.5557,277.87
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4176,417.60
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5240,262.00
"5.5"" x 8.5""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4049,404.91
"6"" x 8""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.6161,308.03
"6"" x 8""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4462,446.18
"6"" x 8""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.6161,308.03
"6"" x 8""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4462,446.18
"6"" x 8""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5843,292.16
"6"" x 8""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4319,431.90
"6"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.6161,308.03
"6"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4462,446.18
"6"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.6161,308.03
"6"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4462,446.18
"6"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5843,292.16
"6"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4319,431.90
"6"" x 11""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.6288,314.39
"6"" x 11""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4525,452.54
"6"" x 11""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.6288,314.39
"6"" x 11""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4525,452.54
"6"" x 11""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5970,298.52
"6"" x 11""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4382,438.25
"6.25"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.6225,311.23
"6.25"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4494,449.37
"6.25"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.6225,311.23
"6.25"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4494,449.37
"6.25"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5907,295.34
"6.25"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4351,435.07
"6.5"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,500,0.6225,311.23
"6.5"" x 9""",Rectangle,32PT Uncoated,4/1,No Coating,1000,0.4494,449.37
"6.5"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.6225,311.23
"6.5"" x 9""",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.4494,449.37
"6.5"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,500,0.5907,295.34
"6.5"" x 9""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,1000,0.4351,435.07
