SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"11"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,1.8419,184.19
"11"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,1.1686,292.16
"11"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,1.1496,574.81
"11"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,1.1401,"1,140.08"
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,1.9372,193.72
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,1.2512,312.81
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,1.2258,612.90
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,1.2211,"1,221.07"
"11"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,1.4767,147.67
"11"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.9337,233.42
"11"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.9210,460.48
"11"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.9114,911.42
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,1.9372,193.72
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,1.2512,312.81
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,1.2258,612.90
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,1.2211,"1,221.07"
"11"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,1.9214,192.14
"11"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,1.2131,303.28
"11"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,1.2036,601.79
"11"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,1.1877,"1,187.71"
"11"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,1.5243,152.43
"11"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.9591,239.77
"11"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.9495,474.77
"11"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.9368,936.84
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,1.9372,193.72
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,1.2512,312.81
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,1.2258,612.90
"11"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,1.2211,"1,221.07"
"11"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,100,1.8103,181.03
"11"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,250,1.1496,287.40
"11"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,500,1.1401,570.05
"11"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,1000,1.1274,"1,127.38"
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,100,0.5082,50.82
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,250,0.3048,76.21
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,500,0.2953,147.67
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,1000,0.2922,292.16
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Scoring,100,0.5082,50.82
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Scoring,250,0.3048,76.21
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Scoring,500,0.2953,147.67
"4"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Scoring,1000,0.2922,292.16
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,100,0.6034,60.34
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,250,0.3684,92.10
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Scoring,100,0.6034,60.34
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Scoring,250,0.3684,92.10
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Scoring,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Scoring,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,100,0.3969,39.69
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,250,0.2286,57.16
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,500,0.2255,112.73
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,1000,0.2191,219.12
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Scoring,100,0.3969,39.69
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Scoring,250,0.2286,57.16
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Scoring,500,0.2255,112.73
"4"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Scoring,1000,0.2191,219.12
