SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.2065,20.65
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.0985,24.61
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.0810,40.49
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0730,73.04
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1827,18.27
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0826,20.65
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0667,33.34
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0572,57.16
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2223,22.23
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.1016,25.41
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.0921,46.05
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.0873,87.33
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1905,19.05
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0889,22.23
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0762,38.12
"2.5"" x 3.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0635,63.50
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2223,22.23
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1016,25.41
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.0921,46.05
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.0873,87.33
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1,No Coating,100,0.1985,19.85
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1,No Coating,250,0.0953,23.82
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1,No Coating,500,0.0794,39.69
"2.5"" x 3.5""",18PT Uncoated Kraft,4/1,No Coating,1000,0.0683,68.28
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2223,22.23
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.1016,25.41
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.0921,46.05
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.0873,87.33
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.1985,19.85
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.0953,23.82
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.0794,39.69
"2.5"" x 3.5""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0683,68.28
