SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2541,25.41
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.1588,39.69
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.1493,74.64
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.1445,144.50
"2"" x 8""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.2382,23.82
"2"" x 8""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.1334,33.34
"2"" x 8""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.1270,63.50
"2"" x 8""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.1207,120.68
"2"" x 8""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.2382,23.82
"2"" x 8""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.1334,33.34
"2"" x 8""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.1207,60.34
"2"" x 8""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1159,115.93
"2"" x 8""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.2065,20.65
"2"" x 8""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.1079,26.98
"2"" x 8""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0985,49.23
"2"" x 8""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0921,92.10
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2541,25.41
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.1588,39.69
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.1493,74.64
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.1445,144.50
"2"" x 8""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.2143,21.43
"2"" x 8""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1143,28.58
"2"" x 8""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1016,50.82
"2"" x 8""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1000,100.03
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2541,25.41
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1588,39.69
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.1493,74.64
"2"" x 8""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.1445,144.50
"2"" x 8""",18PT Uncoated Kraft,4/1,No Coating,100,0.2223,22.23
"2"" x 8""",18PT Uncoated Kraft,4/1,No Coating,250,0.1270,31.76
"2"" x 8""",18PT Uncoated Kraft,4/1,No Coating,500,0.1080,53.99
"2"" x 8""",18PT Uncoated Kraft,4/1,No Coating,1000,0.1080,107.97
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.4287,42.87
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.2604,65.10
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.2541,127.04
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.2477,247.71
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.3493,34.93
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.2096,52.39
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.2096,104.79
