SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,No Blank Envelopes,100,0.9996,99.96
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,No Blank Envelopes,250,0.5852,146.29
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,No Blank Envelopes,500,0.5091,254.56
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,No Blank Envelopes,1000,0.4744,474.39
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.2796,127.96
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.7652,191.29
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.6551,327.56
"7"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.6174,617.39
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,No Blank Envelopes,100,1.2450,124.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,No Blank Envelopes,250,0.7356,183.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,No Blank Envelopes,500,0.6727,336.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,No Blank Envelopes,1000,0.6379,637.95
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.5250,152.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.9156,228.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.8187,409.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7809,780.95
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,100,1.1961,119.61
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,250,0.7029,175.74
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,500,0.6236,311.82
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,1000,0.5971,597.06
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.4761,147.61
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.8829,220.74
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.7696,384.82
"7"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7401,740.06
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,No Blank Envelopes,100,1.2450,124.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,No Blank Envelopes,250,0.7356,183.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,No Blank Envelopes,500,0.6727,336.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,No Blank Envelopes,1000,0.6379,637.95
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.5250,152.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.9156,228.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.8187,409.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7809,780.95
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,No Blank Envelopes,100,1.0325,103.25
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,No Blank Envelopes,250,0.5982,149.55
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,No Blank Envelopes,500,0.5255,262.74
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,No Blank Envelopes,1000,0.4924,492.40
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.3125,131.25
