SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Drill Hole,100,0.3812,38.12
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Drill Hole,250,0.2223,55.57
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Drill Hole,500,0.1493,74.64
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Drill Hole,1000,0.1135,113.53
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",100,0.3812,38.12
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",250,0.2223,55.57
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",500,0.1493,74.64
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",1000,0.1135,113.53
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Drill Hole,100,0.4129,41.29
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Drill Hole,250,0.2414,60.34
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Drill Hole,500,0.1651,82.57
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Drill Hole,1000,0.1270,127.04
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,"Standard Drill Hole 1/8""",100,0.4129,41.29
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,"Standard Drill Hole 1/8""",250,0.2414,60.34
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,"Standard Drill Hole 1/8""",500,0.1651,82.57
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,"Standard Drill Hole 1/8""",1000,0.1270,127.04
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Drill Hole,100,0.3969,39.69
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Drill Hole,250,0.2350,58.75
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Drill Hole,500,0.1619,80.97
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Drill Hole,1000,0.1239,123.86
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,"Standard Drill Hole 1/8""",100,0.3969,39.69
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,"Standard Drill Hole 1/8""",250,0.2350,58.75
"1.5"" x 3.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,"Standard Drill Hole 1/8""",500,0.1619,80.97
