SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.2065,20.65
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.1016,25.41
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.0921,46.05
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.0873,87.33
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1985,19.85
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0953,23.82
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0826,41.29
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0794,79.40
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2382,23.82
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.1270,31.76
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.1175,58.75
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.1143,114.33
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2382,23.82
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.1270,31.76
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.1175,58.75
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.1143,114.33
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2382,23.82
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1270,31.76
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.1175,58.75
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.1143,114.33
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1905,19.05
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0889,22.23
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0794,39.69
"2"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0730,73.04
