SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,25,1.2070,30.18
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,50,0.6511,32.56
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,75,0.4763,35.72
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.3812,38.12
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.1905,47.63
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1016,50.82
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.0921,92.10
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,25,1.4750,36.88
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,50,0.8211,41.06
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,75,0.6256,46.92
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,100,0.5202,52.02
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,250,0.2797,69.93
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,500,0.1626,81.32
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,1000,0.1461,146.10
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,25,1.2070,30.18
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,50,0.6511,32.56
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,75,0.5082,38.12
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4129,41.29
"4.25"" x 5.5""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2033,50.82
