SIZE ,STOCK ,COLORSPEC ,COATING ,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",25,2.4419,61.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",50,1.2846,64.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",75,0.8986,67.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",100,0.7216,72.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",250,0.3922,98.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",500,0.2288,114.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",1000,0.1877,187.67
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,25,1.8419,46.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,50,0.9846,49.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,75,0.6986,52.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,100,0.5716,57.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,250,0.2922,73.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,500,0.1588,79.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,1000,0.1477,147.67
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",25,2.4419,61.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",50,1.2846,64.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",75,0.8986,67.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",100,0.7216,72.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",250,0.3922,98.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",500,0.2288,114.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",1000,0.1877,187.67
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",25,2.1247,53.12
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",50,1.1257,56.29
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",75,0.8140,61.05
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",100,0.6582,65.82
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",250,0.3540,88.50
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",500,0.2066,103.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",1000,0.1496,149.57
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,25,1.5247,38.12
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,50,0.8257,41.29
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,75,0.6140,46.05
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,100,0.5082,50.82
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,250,0.2540,63.50
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,500,0.1366,68.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,1000,0.1096,109.57
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",25,2.1247,53.12
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",50,1.1257,56.29
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",75,0.8140,61.05
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",100,0.6582,65.82
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",250,0.3540,88.50
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",500,0.2066,103.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",1000,0.1496,149.57
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",25,2.3147,57.87
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",50,1.2210,61.05
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",75,0.8564,64.23
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",100,0.6899,68.99
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",250,0.3668,91.70
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",500,0.2224,111.21
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/4""",1000,0.1607,160.68
