SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"1.5"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"1.75"" x 3.5""",Rounded 4 Corners,-,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"1.75"" x 3.5""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"2"" x 2""",Square,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"2"" x 2""",Square,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"2"" x 2""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"2"" x 3""",Rectangle,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"2"" x 3""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"2"" x 3""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
