SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,25,3.0484,76.21
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,50,1.6514,82.57
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,75,1.1856,88.92
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,100,0.9210,92.10
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,250,0.4383,109.57
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,500,0.2541,127.04
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,1000,0.2318,231.82
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,25,3.3284,83.21
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,50,1.8714,93.57
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.4122,105.92
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.1410,114.10
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.5743,143.57
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3461,173.04
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3238,323.82
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,25,3.9382,98.46
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,50,2.1277,106.39
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,75,1.4820,111.15
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,100,1.1273,112.73
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,250,0.5526,138.14
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,500,0.3049,152.43
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,1000,0.2699,269.94
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,25,4.2182,105.46
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,50,2.3477,117.39
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.7087,128.15
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.3473,134.73
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.6886,172.14
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3969,198.43
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3619,361.94
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,25,3.7472,93.68
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,50,1.9691,98.46
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,75,1.4185,106.39
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,100,1.0797,107.97
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,250,0.5208,130.20
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,500,0.2953,147.67
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,1000,0.2620,262.00
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,25,4.0272,100.68
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,50,2.1891,109.46
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.6451,123.39
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.2997,129.97
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.6568,164.20
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3873,193.67
"4.25"" x 11""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3540,354.00
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,25,2.9218,73.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,50,1.5561,77.81
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,75,1.0721,80.41
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,100,0.8575,85.75
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,250,0.4001,100.03
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,500,0.2541,127.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,1000,0.2334,233.42
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,25,3.2018,80.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,50,1.7761,88.81
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.2987,97.41
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.0775,107.75
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.5361,134.03
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3461,173.04
