SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4446,44.46
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"1.5"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4129,41.29
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2477,61.93
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1429,71.45
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1048,104.79
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4129,41.29
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2477,61.93
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1429,71.45
"1.5"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1048,104.79
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4446,44.46
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"1.5"" x 3.5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4446,44.46
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"1.75"" x 3.5""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"1.75"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4129,41.29
"1.75"" x 3.5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2477,61.93
