SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,RunSize,UnitPrice,TotalPrice
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,25,16.0175,400.44
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,50,9.2036,460.18
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,75,6.9961,524.71
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,100,5.8445,584.45
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,250,2.8202,705.04
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,500,1.5612,780.59
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,1000,0.8650,864.98
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,25,16.0175,400.44
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,50,9.2036,460.18
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,75,6.9961,524.71
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,100,5.8445,584.45
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,250,2.8202,705.04
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,500,1.5612,780.59
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,1000,0.8650,864.98
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,25,15.4975,387.44
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,50,8.9236,446.18
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,75,6.7961,509.71
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,100,5.6845,568.45
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,250,2.7502,687.54
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,500,1.5212,760.59
"11"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,1000,0.8400,839.98
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,25,16.0175,400.44
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,50,9.2036,460.18
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,75,6.9961,524.71
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,100,5.8445,584.45
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,250,2.8202,705.04
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,500,1.5612,780.59
"11"" x 17""",14PT Natural,4/1,No Coating,One Score,,1000,0.8650,864.98
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,25,16.0175,400.44
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,50,9.2036,460.18
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,75,6.9961,524.71
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,100,5.8445,584.45
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,250,2.8202,705.04
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,500,1.5612,780.59
"11"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,1000,0.8650,864.98
"11"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,25,15.4975,387.44
"11"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,50,8.9236,446.18
"11"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,75,6.7961,509.71
