SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"2"" x 4""",14PT Natural,4/1,No Coating,,25,0.7621,19.05
"2"" x 4""",14PT Natural,4/1,No Coating,,50,0.4130,20.65
"2"" x 4""",14PT Natural,4/1,No Coating,,75,0.3069,23.02
"2"" x 4""",14PT Natural,4/1,No Coating,,100,0.2461,24.61
"2"" x 4""",14PT Natural,4/1,No Coating,,250,0.1079,26.98
"2"" x 4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2"" x 4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,25,0.7621,19.05
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,50,0.4130,20.65
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,75,0.3069,23.02
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.2461,24.61
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2"" x 4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,25,0.7621,19.05
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,50,0.4130,20.65
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,75,0.3069,23.02
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2461,24.61
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1079,26.98
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2"" x 4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2"" x 6""",14PT Natural,4/1,No Coating,,25,1.2070,30.18
"2"" x 6""",14PT Natural,4/1,No Coating,,50,0.6668,33.34
"2"" x 6""",14PT Natural,4/1,No Coating,,75,0.4870,36.52
"2"" x 6""",14PT Natural,4/1,No Coating,,100,0.4446,44.46
"2"" x 6""",14PT Natural,4/1,No Coating,,250,0.2223,55.57
"2"" x 6""",14PT Natural,4/1,No Coating,,500,0.1239,61.93
"2"" x 6""",14PT Natural,4/1,No Coating,,1000,0.0746,74.64
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,25,1.2070,30.18
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,50,0.6668,33.34
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,75,0.4657,34.93
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,100,0.3969,39.69
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1905,47.63
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1111,55.57
"2"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0889,88.92
"2"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,25,1.2070,30.18
"2"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,50,0.6668,33.34
"2"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,75,0.5082,38.12
"2"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.4763,47.63
