SIZE ,STOCK ,COLORSPEC ,COATING ,POCKETS ,,RunSize,UnitPrice,TotalPrice
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,,100,4.7477,474.77
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,,250,2.4072,601.79
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,,500,1.2862,643.08
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,,1000,0.7622,762.17
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Right (Back) Side,,100,4.7477,474.77
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Right (Back) Side,,250,2.4072,601.79
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Right (Back) Side,,500,1.2862,643.08
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Right (Back) Side,,1000,0.7622,762.17
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,2 Pockets Presentation Folder,,100,4.7477,474.77
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,2 Pockets Presentation Folder,,250,2.4072,601.79
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,2 Pockets Presentation Folder,,500,1.2862,643.08
"5.25"" x 10.5""",14PT Natural,4/0 (4 color front),No Coating,2 Pockets Presentation Folder,,1000,0.7622,762.17
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Left (Front) Side,,100,5.0017,500.17
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Left (Front) Side,,250,2.5977,649.42
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Left (Front) Side,,500,1.3973,698.65
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Left (Front) Side,,1000,0.9352,935.24
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,,100,5.0017,500.17
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,,250,2.5977,649.42
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,,500,1.3973,698.65
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,,1000,0.9352,935.24
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,,100,5.0017,500.17
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,,250,2.5977,649.42
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,,500,1.3973,698.65
"5.25"" x 10.5""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,,1000,0.9352,935.24
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Left (Front) Side,,100,5.0493,504.93
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Left (Front) Side,,250,2.7628,690.71
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Left (Front) Side,,500,1.4354,717.72
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Left (Front) Side,,1000,0.9988,998.77
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Right (Back) Side,,100,5.0493,504.93
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Right (Back) Side,,250,2.7628,690.71
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Right (Back) Side,,500,1.4354,717.72
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,1 Pocket on the Right (Back) Side,,1000,0.9988,998.77
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,2 Pockets Presentation Folder,,100,5.0493,504.93
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,2 Pockets Presentation Folder,,250,2.7628,690.71
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,2 Pockets Presentation Folder,,500,1.4354,717.72
"5.25"" x 10.5""",14PT Natural,4/4 (4 color both sides),No Coating,2 Pockets Presentation Folder,,1000,0.9988,998.77
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,On Left (Front) Pocket - Horizontal,100,4.6048,460.48
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,On Left (Front) Pocket - Horizontal,250,2.3818,595.45
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,On Left (Front) Pocket - Horizontal,500,1.2735,636.73
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,On Left (Front) Pocket - Horizontal,1000,0.7447,744.70
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,No Business Card Slits,100,4.6048,460.48
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,No Business Card Slits,250,2.3818,595.45
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,No Business Card Slits,500,1.2735,636.73
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,1 Pocket on the Left (Front) Side,No Business Card Slits,1000,0.7447,744.70
