SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,25,2.3648,59.12
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,50,1.3943,69.72
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,75,0.8893,66.70
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,100,0.7881,78.81
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,250,0.3152,78.81
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,500,0.2213,110.65
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,1000,0.1440,143.99
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,25,3.6682,91.70
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,50,2.0005,100.03
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,75,1.5118,113.38
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,100,1.2506,125.06
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,250,0.6202,155.06
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,500,0.3534,176.72
"5"" x 5.5""",14PT Natural,4/0 (4 color front),No Coating,1000,0.2551,255.10
