SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,25,0.7621,19.05
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,50,0.4130,20.65
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,75,0.3388,25.41
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,100,0.2698,26.98
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,250,0.1207,30.18
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,500,0.0699,34.93
"2.5"" x 3.5""",14PT Natural,4/4 (4 color both sides),No Coating,1000,0.0572,57.16
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,25,0.7621,19.05
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,50,0.4130,20.65
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,75,0.3388,25.41
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,100,0.2698,26.98
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,250,0.1207,30.18
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,500,0.0699,34.93
"2.5"" x 3.5""",14PT Natural,4/1,No Coating,1000,0.0572,57.16
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,25,0.7621,19.05
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,50,0.4130,20.65
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,75,0.2964,22.23
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,100,0.2223,22.23
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,250,0.1143,28.58
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,500,0.0635,31.76
"2.5"" x 3.5""",14PT Natural,4/0 (4 color front),No Coating,1000,0.0540,53.99
