SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Include Envelopes - A2,500,0.4914,245.69
