SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,CLEAR CASE ,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Insert in a Clear Case,250,0.2969,74.23
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Insert in a Clear Case,500,0.1871,93.55
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Insert in a Clear Case,1000,0.1539,153.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Ship with a Brown Box,250,0.2829,70.73
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Ship with a Brown Box,500,0.1761,88.05
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Ship with a Brown Box,1000,0.1429,142.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Insert in a Clear Case,250,0.2969,74.23
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Insert in a Clear Case,500,0.1871,93.55
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Insert in a Clear Case,1000,0.1539,153.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Ship with a Brown Box,250,0.2829,70.73
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Ship with a Brown Box,500,0.1761,88.05
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Ship with a Brown Box,1000,0.1429,142.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Insert in a Clear Case,250,0.2969,74.23
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Insert in a Clear Case,500,0.1871,93.55
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Insert in a Clear Case,1000,0.1539,153.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Ship with a Brown Box,250,0.2829,70.73
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Ship with a Brown Box,500,0.1761,88.05
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Ship with a Brown Box,1000,0.1429,142.91
"2"" x 3.5"" (US Standard)",Rectangle,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Insert in a Clear Case,250,0.2969,74.23
