SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Turquoise,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Turquoise,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Turquoise,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Green,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Green,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Green,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Pink,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Pink,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Pink,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Red,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Red,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Red,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Brown,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Brown,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Brown,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Gold,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Gold,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Gold,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Orange,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Orange,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Orange,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,White (Not Painted),250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,White (Not Painted),500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,White (Not Painted),1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Blue,250,0.7248,181.20
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Blue,500,0.4530,226.49
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Blue,1000,0.3464,346.44
"4"" x 6""",Rectangle,32PT Uncoated,4/1,No Coating,Metallic Orange,250,0.7248,181.20
