SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,25,1.5875,39.69
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,50,0.8574,42.87
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,75,0.8258,61.93
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,100,0.7145,71.45
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,250,0.3747,93.68
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,500,0.2922,146.09
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,1000,0.2652,265.18
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,25,1.8675,46.69
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,50,1.0974,54.87
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,75,1.0391,77.93
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,100,0.9245,92.45
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,250,0.5507,137.68
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,500,0.4382,219.09
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,1000,0.4112,411.18
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,25,1.2704,31.76
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,50,0.7624,38.12
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,75,0.7410,55.57
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.6350,63.50
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.3493,87.33
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.2763,138.14
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.2541,254.06
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,25,1.5504,38.76
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,50,1.0024,50.12
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,75,0.9543,71.57
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,100,0.8450,84.50
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,250,0.5253,131.33
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,500,0.4223,211.14
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,1000,0.4001,400.06
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,25,1.7786,44.46
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,50,0.9846,49.23
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,75,0.9315,69.86
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.7621,76.21
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.4065,101.62
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.3112,155.61
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.2731,273.11
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,25,2.0586,51.46
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,50,1.2246,61.23
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,75,1.1449,85.86
"4.25"" x 5.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,100,0.9721,97.21
