SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1159,115.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3652,36.52
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1905,47.63
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1366,68.28
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1239,123.86
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
