SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,25,1.2704,31.76
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,50,0.6668,33.34
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,75,0.4657,34.93
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,100,0.3969,39.69
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,250,0.1905,47.63
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,500,0.1334,66.70
"2"" x 4""",14PT Pearl Metallic,4/1,No Coating,,1000,0.1191,119.09
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,1.3337,33.34
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,0.6985,34.93
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,0.4870,36.52
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,0.3969,39.69
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.1969,49.23
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.1366,68.28
"2"" x 4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.1239,123.86
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,1.2070,30.18
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,0.6352,31.76
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,0.4446,33.34
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.3812,38.12
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.1842,46.05
"2"" x 4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.1302,65.10
