SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,LAMINATION ,UNWIND OPTIONS ,RunSize,UnitPrice,TotalPrice
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),250,0.5526,138.14
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),500,0.3112,155.61
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),1000,0.1731,173.07
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),2500,0.0832,208.01
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),5000,0.0521,260.40
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),10000,0.0330,330.28
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),15000,0.0330,495.41
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),250,0.5526,138.14
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),500,0.3112,155.61
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),1000,0.1731,173.07
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),2500,0.0832,208.01
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),5000,0.0521,260.40
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),10000,0.0330,330.28
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),15000,0.0330,495.41
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,250,0.5526,138.14
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,500,0.3112,155.61
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,1000,0.1731,173.07
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,2500,0.0832,208.01
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,5000,0.0521,260.40
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,10000,0.0330,330.28
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,15000,0.0330,495.41
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),250,0.5526,138.14
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),500,0.3112,155.61
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),1000,0.1731,173.07
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),2500,0.0832,208.01
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),5000,0.0521,260.40
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),10000,0.0330,330.28
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),15000,0.0330,495.41
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),250,0.5526,138.14
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),500,0.3112,155.61
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),1000,0.1731,173.07
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),2500,0.0832,208.01
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),5000,0.0521,260.40
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),10000,0.0330,330.28
"1"" x 2""",Oval,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),15000,0.0330,495.41
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),250,0.8661,216.52
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),500,0.4995,249.73
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),1000,0.2685,268.49
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),2500,0.1207,301.69
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),5000,0.0753,376.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),10000,0.0489,489.34
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),15000,0.0399,599.06
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),250,0.8661,216.52
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),500,0.4995,249.73
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),1000,0.2685,268.49
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),2500,0.1207,301.69
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),5000,0.0753,376.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),10000,0.0489,489.34
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),15000,0.0399,599.06
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,250,0.8661,216.52
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,500,0.4995,249.73
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,1000,0.2685,268.49
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,2500,0.1207,301.69
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,5000,0.0753,376.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,10000,0.0489,489.34
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Not Important,15000,0.0399,599.06
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),250,0.8661,216.52
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),500,0.4995,249.73
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),1000,0.2685,268.49
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),2500,0.1207,301.69
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),5000,0.0753,376.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),10000,0.0489,489.34
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),15000,0.0399,599.06
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),250,0.8661,216.52
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),500,0.4995,249.73
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),1000,0.2685,268.49
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),2500,0.1207,301.69
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),5000,0.0753,376.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),10000,0.0489,489.34
"1"" x 2""",Oval,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),15000,0.0399,599.06
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),250,0.9209,230.23
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),500,0.5335,266.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),1000,0.2874,287.40
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),2500,0.1264,315.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),5000,0.0794,396.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),10000,0.0522,522.42
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Bottom (Direction #2),15000,0.0423,635.15
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),250,0.9209,230.23
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),500,0.5335,266.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),1000,0.2874,287.40
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),2500,0.1264,315.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),5000,0.0794,396.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),10000,0.0522,522.42
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Left (Direction #4),15000,0.0423,635.15
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,250,0.9209,230.23
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,500,0.5335,266.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,1000,0.2874,287.40
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,2500,0.1264,315.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,5000,0.0794,396.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,10000,0.0522,522.42
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Not Important,15000,0.0423,635.15
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),250,0.9209,230.23
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),500,0.5335,266.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),1000,0.2874,287.40
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),2500,0.1264,315.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),5000,0.0794,396.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),10000,0.0522,522.42
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Top (Direction #1),15000,0.0423,635.15
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),250,0.9209,230.23
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),500,0.5335,266.75
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),1000,0.2874,287.40
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),2500,0.1264,315.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),5000,0.0794,396.98
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),10000,0.0522,522.42
"1"" x 2""",Oval,Bright Silver Metallic,4/0 with White Mask,No Coating,No Lamination,Off Right (Direction #3),15000,0.0423,635.15
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),250,0.9556,238.89
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),500,0.5516,275.82
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),1000,0.2985,298.46
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),2500,0.1318,329.46
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),5000,0.0828,413.84
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),10000,0.0541,540.53
"1"" x 2""",Oval,Clear BOPP,4/0 (4 color front),No Coating,Silk,Off Bottom (Direction #2),15000,0.0443,664.10
