SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,LAMINATION ,UNWIND OPTIONS ,RunSize,UnitPrice,TotalPrice
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),250,0.5081,127.04
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),500,0.2890,144.50
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),1000,0.1667,166.72
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),2500,0.0807,201.65
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),5000,0.0486,242.93
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),10000,0.0295,295.34
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),15000,0.0279,419.20
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),250,0.5081,127.04
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),500,0.2890,144.50
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),1000,0.1667,166.72
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),2500,0.0807,201.65
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),5000,0.0486,242.93
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),10000,0.0295,295.34
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),15000,0.0279,419.20
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),250,0.5081,127.04
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),500,0.2890,144.50
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),1000,0.1667,166.72
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),2500,0.0807,201.65
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),5000,0.0486,242.93
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),10000,0.0295,295.34
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),15000,0.0279,419.20
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),250,0.5081,127.04
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),500,0.2890,144.50
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),1000,0.1667,166.72
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),2500,0.0807,201.65
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),5000,0.0486,242.93
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),10000,0.0295,295.34
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),15000,0.0279,419.20
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,250,0.5081,127.04
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,500,0.2890,144.50
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,1000,0.1667,166.72
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,2500,0.0807,201.65
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,5000,0.0486,242.93
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,10000,0.0295,295.34
"1"" x 1""",Square,70 LB Eggshell,4/0 (4 color front),No Coating,No Lamination,Not Important,15000,0.0279,419.20
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),250,0.8373,209.32
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),500,0.4793,239.63
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),1000,0.2512,251.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),2500,0.1109,277.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),5000,0.0638,319.01
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),10000,0.0364,363.76
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Top (Direction #1),15000,0.0296,444.61
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),250,0.8373,209.32
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),500,0.4793,239.63
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),1000,0.2512,251.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),2500,0.1109,277.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),5000,0.0638,319.01
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),10000,0.0364,363.76
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Right (Direction #3),15000,0.0296,444.61
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),250,0.8373,209.32
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),500,0.4793,239.63
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),1000,0.2512,251.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),2500,0.1109,277.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),5000,0.0638,319.01
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),10000,0.0364,363.76
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Left (Direction #4),15000,0.0296,444.61
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),250,0.8373,209.32
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),500,0.4793,239.63
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),1000,0.2512,251.16
"1"" x 1""",Square,Bright Silver Metallic,4/0 (4 color front),No Coating,No Lamination,Off Bottom (Direction #2),2500,0.1109,277.16
